Date,Temperature in degree celcius,Humidity in percent,Lux,Soil moisture
Sun May 31 09:00:02 2020 , 14.4 , 56.8 , 92 , 407
Sun May 31 09:30:02 2020 , 15.2 , 54.2 , 115 , 410
Sun May 31 10:00:02 2020 , 16.0 , 50.9 , 87 , 414
Sun May 31 10:30:02 2020 , 16.9 , 46.7 , 78 , 417
Sun May 31 11:00:02 2020 , 17.7 , 45.6 , 103 , 413
Sun May 31 11:30:02 2020 , 18.6 , 43.4 , 103 , 416
Sun May 31 12:00:02 2020 , 18.9 , 38.7 , 177 , 417
Sun May 31 12:30:02 2020 , 19.6 , 38.3 , 197 , 423
Sun May 31 13:00:02 2020 , 20.5 , 38.2 , 337 , 418
Sun May 31 13:30:01 2020 , 20.7 , 37.4 , 339 , 416
Sun May 31 14:00:01 2020 , 22.0 , 36.4 , 3074 , 424
Sun May 31 14:30:02 2020 , 24.4 , 32.8 , 4284 , 426
Sun May 31 15:00:02 2020 , 26.1 , 29.6 , 3021 , 423
Sun May 31 15:30:02 2020 , 23.9 , 31.4 , 1177 , 417
Sun May 31 16:00:02 2020 , 24.2 , 31.0 , 364 , 423
Sun May 31 16:30:02 2020 , 24.4 , 32.9 , 218 , 421
Sun May 31 17:00:02 2020 , 24.2 , 30.0 , 171 , 417
Sun May 31 17:30:02 2020 , 23.5 , 31.8 , 142 , 416
Sun May 31 18:00:02 2020 , 23.0 , 35.7 , 135 , 417
Sun May 31 18:30:02 2020 , 22.9 , 35.9 , 84 , 420
Sun May 31 19:00:02 2020 , 21.8 , 34.9 , 51 , 415
Sun May 31 19:30:02 2020 , 21.1 , 36.8 , 25 , 414
Sun May 31 20:00:39 2020 ,
Sun May 31 20:04:54 2020 , 19.2 , 41.7 , 7 , 281
Sun May 31 20:30:01 2020 , 20.2 , 40.3 , 1 , 284
Sun May 31 21:00:01 2020 , 18.9 , 41.4 , 0 , 285
Sun May 31 21:30:02 2020 , 18.3 , 42.0 , 0 , 285
Sun May 31 22:00:02 2020 , 17.6 , 43.6 , 0 , 287
Sun May 31 22:30:02 2020 , 17.3 , 46.8 , 0 , 287
Sun May 31 23:00:02 2020 , 17.1 , 47.8 , 0 , 287
Sun May 31 23:30:02 2020 , 16.9 , 48.2 , 0 , 290
Mon Jun  1 00:00:02 2020 , 16.8 , 50.0 , 0 , 287
Mon Jun  1 00:30:02 2020 , 16.2 , 50.5 , 0 , 288
Mon Jun  1 01:00:02 2020 , 15.9 , 52.1 , 0 , 286
Mon Jun  1 01:30:02 2020 , 16.1 , 53.1 , 0 , 288
Mon Jun  1 02:00:02 2020 , 16.1 , 55.0 , 0 , 290
Mon Jun  1 02:30:02 2020 , 15.5 , 57.0 , 0 , 288
Mon Jun  1 03:00:02 2020 , 14.9 , 58.6 , 0 , 285
Mon Jun  1 03:30:02 2020 , 14.5 , 60.1 , 0 , 285
Mon Jun  1 04:00:02 2020 , 14.2 , 61.5 , 0 , 284
Mon Jun  1 04:30:02 2020 , 13.8 , 62.0 , 4 , 283
Mon Jun  1 05:00:02 2020 , 13.6 , 63.8 , 16 , 286
Mon Jun  1 05:30:02 2020 , 13.3 , 64.0 , 25 , 286
Mon Jun  1 06:00:02 2020 , 13.6 , 65.8 , 29 , 284
Mon Jun  1 06:30:02 2020 , 13.9 , 66.6 , 32 , 289
Mon Jun  1 07:00:02 2020 , 14.5 , 67.4 , 32 , 288
Mon Jun  1 07:30:02 2020 , 15.4 , 64.0 , 36 , 295
Mon Jun  1 08:00:02 2020 , 16.2 , 62.5 , 41 , 300
Mon Jun  1 08:30:02 2020 , 17.4 , 59.5 , 42 , 305
Mon Jun  1 09:00:02 2020 , 18.7 , 55.1 , 45 , 307
Mon Jun  1 09:30:02 2020 , 19.5 , 52.5 , 48 , 305
Mon Jun  1 10:00:02 2020 , 20.2 , 53.3 , 53 , 309
Mon Jun  1 10:30:02 2020 , 21.4 , 49.8 , 64 , 313
Mon Jun  1 11:00:02 2020 , 22.2 , 45.5 , 72 , 312
Mon Jun  1 11:30:02 2020 , 22.6 , 44.7 , 88 , 313
Mon Jun  1 12:00:02 2020 , 23.3 , 39.5 , 99 , 313
Mon Jun  1 12:30:02 2020 , 23.8 , 38.9 , 119 , 322
Mon Jun  1 13:00:02 2020 , 24.4 , 39.6 , 168 , 325
Mon Jun  1 13:30:01 2020 , 25.1 , 37.5 , 231 , 327
Mon Jun  1 14:00:01 2020 , 26.1 , 33.8 , 1874 , 329
Mon Jun  1 14:30:02 2020 , 28.9 , 29.3 , 5912 , 327
Mon Jun  1 15:00:02 2020 , 33.7 , 24.0 , 4593 , 327
Mon Jun  1 15:30:02 2020 , 35.4 , 22.2 , 5161 , 324
Mon Jun  1 16:00:02 2020 , 34.9 , 24.4 , 357 , 325
Mon Jun  1 16:30:02 2020 , 32.1 , 25.2 , 158 , 324
